Game,Platform,Release_Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,MetaScore,UserReview
2xtreme,PS,1996.0,Sports,Sony Computer Entertainment,1.15,0.2,0.0,0.05,1.4,,
"3 in 1: solitaire, mahjong & tangram",DS,2010.0,Misc,Deep Silver,0.0,0.07,0.0,0.01,0.08,,
300: march to glory,PSP,2007.0,Action,Warner Bros. Interactive Entertainment,0.27,0.08,0.0,0.06,0.41,55.0,6.7
3d baseball,PS,1996.0,Sports,BMG Interactive Entertainment,0.02,0.01,0.0,0.0,0.03,,
3d dot game heroes,PS3,2009.0,Role-Playing,SouthPeak Games,0.36,0.12,0.03,0.07,0.57,,
3d lemmings,PS,1995.0,Puzzle,Psygnosis,0.03,0.02,0.0,0.0,0.06,,
3d tank warfare simulator panzer front,PS,1999.0,Simulation,Avalon Interactive,0.06,0.04,0.0,0.01,0.1,,
3ds classic collection,3DS,2016.0,Misc,Sega,0.02,0.0,0.0,0.0,0.03,,
3rd super robot wars z jigoku hen,PS3,2014.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.23,0.0,0.23,,
3rd super robot wars z jigoku hen,PSV,2014.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.19,0.0,0.19,,
3rd super robot wars z: tengoku-hen,PS3,2015.0,Action,Namco Bandai Games,0.0,0.0,0.15,0.0,0.15,,
3rd super robot wars z: tengoku-hen,PSV,2015.0,Action,Namco Bandai Games,0.0,0.0,0.19,0.0,0.19,,
3xtreme,PS,1999.0,Action,989 Studios,0.5,0.34,0.0,0.06,0.9,,
4 elements,PC,2009.0,Puzzle,Mastertronic,0.0,0.04,0.0,0.01,0.05,,
4 game fun pack: monopoly / boggle / yahtzee / battleship,DS,2005.0,Misc,Atari,0.11,0.0,0.0,0.01,0.12,,
4 nin uchi mahjong,NES,1984.0,Misc,Nintendo,0.0,0.0,1.45,0.0,1.45,,
40 winks,PS,1999.0,Platform,GT Interactive,0.17,0.12,0.0,0.02,0.31,,
428: fuusa sareta shibuya de,PS3,2009.0,Adventure,Spike,0.0,0.0,0.02,0.0,0.02,,
428: fuusa sareta shibuya de,PSP,2009.0,Adventure,Spike,0.0,0.0,0.04,0.0,0.04,,
